shopID,shopname,address,telephone,open_time,close_time,WIFI,socket,time_limit,minimum_order
53,轉角貓,台北市內湖區成功路三段187巷3弄2號,(02)27944182,12:00,22:00,有,有,有,有
54,壹咖啡_內湖康寧店,台北市內湖區成功路四段20巷29號,(02)27948401,13:00,18:00,有,有,有,有
55,布夏拉提咖啡,台北市內湖區康寧路一段76號,(02)87929722,10:00,21:00,有,有,有,有
56,Reeds Cafe,台北市內湖區成功路三段146號,(02)27903266,12:00,21:00,有,有,有,無
57,cama cafe 內湖成功店,台北市內湖區成功路三段174巷18號,(02)87920006,9:00,19:00,有,無,有,無
58,在山野對話,台北市內湖區港墘路127巷16弄10號,(02)26589906,11:30,19:00,有,無,有,無
59,TIECAFE,台北市內湖區成功路二段426巷,(02)27940159,10:00,22:00,有,無,有,無
60,象園咖啡內湖店,台北市內湖區內湖路二段192號,(02)27926080,12:00,19:00,有,無,有,無
61,咖啡杯杯(十二立方),台北市內湖區內湖路二段327號,(02)55933998,13:00,18:00,有,無,無,有
62,Louisa Coffee 路易．莎咖啡(內湖成功直營店),台北市內湖區成功路四段75號,(02)87928631,10:00,21:00,有,無,無,有
63,Caffe Le MANI 琢手咖啡,台北市內湖區環山路二段48-1號,(02)27928819,10:00,22:00,有,有,無,有
64,萌兔 cafe&brunch,台北市內湖區金龍路187號,(02)27951516,9:00,19:00,無,有,無,有
65,BUNA CAF'E 布納咖啡館,台北市內湖區民權東路六段137號,(02)27912727,13:00,19:00,有,有,無,有
66,心流映像 Stay flow coffee shot,台北市內湖區內湖路二段355巷5號號1樓,(02)87920015,11:30,21:00,有,有,有,無
67,NOTCH咖啡,台北市內湖區內湖路一段411巷10號1樓,(02)27972323,12:00,18:00,有,有,有,無
68,Moooon River Cafe & Books,台北市內湖區瑞光路218號,(02)77202070,11:30,22:00,有,有,有,有
69,JokeR coffee,台北市內湖區陽光街275號114,(02)26272625,13:00,19:00,有,有,有,有
70,暖窩咖啡,台北市內湖區內湖路三段64號,(02)27965124,9:00,18:00,有,有,有,有
71,Coffee and Couple,台北市士林區文林路404巷10號,(02)28839123,11:30,22:00,有,有,有,有
72,Banana Blue Coffee 005,台北市士林區中正路182號,(02)28331858,13:00,22:00,有,有,有,有
73,愛上咖啡館,台北市士林區中正路235巷47號 ,(02)28836180,12:00,18:00,有,有,有,無
74,咖啡弄,台北市士林區中正路253號2樓,(02)28883322,9:00,19:00,有,有,有,有
75,有幸福Cafe,台北市士林區美德街21號1樓,(02)28821521,11:30,19:00,有,有,有,無
76,S&D,新北市新莊區中和街127號,(02) 8991-7016,7:00,22:30,無,無,有,有
77,兔子&羊,新北市新莊區幸福路671巷2弄2號,(02) 8993-3633,10:00,21:30,無,無,有,有
78,樂咖啡,新北市新莊區中港一街22號,(02) 8994-4877,8:30,22:00,有,有,有,有
79,奶油鬍子貓,新北市板橋區大智街34號,(02) 2966-1982,10:00,19:30,有,有,有,有
80,帕卡遜 percussion caf’e,新北市板橋區文化路一段47號,(09) 8831-0369,11:00,22:00,有,有,無,有
81,Ponpie?,新北市板橋區民權路202巷4弄1號,(02) 2272-2224,12:00,19:30,有,無,有,有
82,上島咖啡店,新北市板橋區縣民大道二段66號,(02) 2964-7312,8:00,22:00,有,有,無,有
83,Ten Ten Den Den 點點甜甜,新北市板橋區光正街45巷2弄2號,(02) 2960-2487,12:30,20:00,有,無,有,有
84,L'id?e Sweet 時甜,新北市板橋區倉後街18號,(02) 2965-7762,12:00,20:00,有,有,無,有
85,沐甜Mu Dessert,新北市板橋區明德街2巷14號,,13:00,18:30,無,無,有,有
86,楔子咖啡館,新北市新莊區公園路164巷6弄6號,(02) 2277-0013,14:00,22:00,有,有,無,有
87,敲我Ciao.O工作室,新北市新莊區明中街36號,(02) 2277-3203,13:00,20:30,有,有,有,有
88,艸堂珈琲,新北市新莊區中港路309巷3號,(02) 2996-0603,12:00,19:00,有,有,無,有
89,何止,新北市新莊區新興街27巷2號,（02）8231-7605,12:00,17:00,有,有,無,有
90,不二弄咖啡,新北市新莊區中華路一段92號,(09) 7054-1640,9:00,21:00,有,無,有,有
91,Doffee 咖啡店,新北市新莊區明中街1號,(02) 2998-8581,7:30,18:00,有,有,無,有
92,工寓咖啡 caf? industry,新北市新莊區中正路593號2樓,(02) 2908-2308,11:30,19:00,有,有,無,有
93,楓橋,新北市新莊區中正路496號,(02) 2906-2186,10:30,22:30,有,有,有,有
94,小森咖啡,新北市新莊區瓊泰路103號,(02) 2208-3266,9:00,18:00,有,有,無,有
95,時咖啡,新北市三重區大仁街5號,02-2983-2138?,11:00,21:00,有,有,無,有
96,八識客咖啡館,新北市三峽區弘園街33號,(09) 3562-7895,10:30,22:30,無,無,有,有
97,老柴咖啡館,新北市三峽區大觀路113號,(02) 3501-2656,9:00,19:00,有,無,有,有
98,一粟精品咖啡館,新北市三峽區民權街93號,(02) 2672-3457,10:00,18:00,有,無,有,有
99,217咖啡,新北市瑞芳區柴寮路217號,(09) 3233-6313,10:30,18:30,無,無,無,有
100,躲喵喵咖啡館,新北市瑞芳區柴寮路223號,(09)2282-3717,10:30,18:30,無,無,無,有
